"FRQ_WTPR","GEO","WSTATUS","ISCED11","AGE","SEX","UNIT","TIME","Value","Flag and Footnotes"
"Never","Latvia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","141.5",""
"Never","Lithuania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","229.1",""
"Never","Luxembourg","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","37.4",""
"Never","Hungary","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","778.5",""
"Never","Malta","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","63.1",""
"Never","Netherlands","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 980.8",""
"Never","Austria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","782.1",""
"Never","Poland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 713.0",""
"Never","Portugal","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 314.1",""
"Never","Romania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 394.5",""
"Never","Slovenia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","243.4",""
"Never","Slovakia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","461.2",""
"Never","Finland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","193.4",""
"Never","Sweden","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","759.4",""
"Never","United Kingdom","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","5 416.5",""
"Never","Iceland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","38.2",""
"Never","Norway","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","578.3",""
"Never","Switzerland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 668.2",""
"Never","Turkey","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","16 425.0",""
"No response","European Union - 27 countries (from 2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","7 761.7",""
"No response","European Union - 28 countries (2013-2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","8 665.9",""
"No response","Euro area - 19 countries  (from 2015)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","7 469.3",""
"No response","Belgium","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","8.2",""
"No response","Bulgaria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","15.3",""
"No response","Czechia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","38.6",""
"No response","Denmark","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","57.9",""
"No response","Germany (until 1990 former territory of the FRG)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 845.0",""
"No response","Estonia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":","u"
"No response","Ireland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","315.2",""
"No response","Greece","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","165.0",""
"No response","Spain","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","755.9",""
"No response","France","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","495.3",""
"No response","Croatia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","38.7",""
"No response","Italy","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","368.4",""
"No response","Cyprus","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":",""
"No response","Latvia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","12.6",""
"No response","Lithuania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":",""
"No response","Luxembourg","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","60.5",""
"No response","Hungary","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","116.8",""
"No response","Malta","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":",""
"No response","Netherlands","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","96.7",""
"No response","Austria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":",""
"No response","Poland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":",""
"No response","Portugal","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","282.3",""
"No response","Romania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":",""
"No response","Slovenia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":",""
"No response","Slovakia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","39.5",""
"No response","Finland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","23.6",""
"No response","Sweden","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","25.1",""
"No response","United Kingdom","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","904.2",""
"No response","Iceland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","18.2",""
"No response","Norway","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","41.8",""
"No response","Switzerland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","71.5",""
"No response","Turkey","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019",":",""
