"Nazwa","Miesi¹ce","Rodzaje dzia³alnoœci","Wartosc"
"PODKARPACKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","93.1"
"PODKARPACKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","91.9"
"PODLASKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","89.1"
"PODLASKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","106.7"
"PODLASKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","156.2"
"PODLASKIE","luty","paliwa sta³e, ciek³e i gazowe","105.6"
"PODLASKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","116"
"PODLASKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","184.9"
"PODLASKIE","marzec","paliwa sta³e, ciek³e i gazowe","98.5"
"PODLASKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","120.2"
"PODLASKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","186.4"
"PODLASKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","88.4"
"PODLASKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","97.9"
"PODLASKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","84.5"
"PODLASKIE","maj","paliwa sta³e, ciek³e i gazowe","85.7"
"PODLASKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","102.8"
"PODLASKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","81.1"
"PODLASKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","77.3"
"PODLASKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","107.6"
"PODLASKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","89.1"
"PODLASKIE","lipiec","paliwa sta³e, ciek³e i gazowe","80"
"PODLASKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","102.4"
"PODLASKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","91.2"
"PODLASKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","81.9"
"PODLASKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","103.1"
"PODLASKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","97.1"
"PODLASKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","79.9"
"PODLASKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","103.5"
"PODLASKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","97.2"
"PODLASKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","79.2"
"PODLASKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","100.1"
"PODLASKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","96.8"
"POMORSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","100.1"
"POMORSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","110"
"POMORSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","78.4"
"POMORSKIE","luty","paliwa sta³e, ciek³e i gazowe","106.6"
"POMORSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","115.9"
"POMORSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","149.4"
"POMORSKIE","marzec","paliwa sta³e, ciek³e i gazowe","83.8"
"POMORSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","112.3"
"POMORSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","136.9"
"POMORSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","58.1"
"POMORSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","94.7"
"POMORSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","101.4"
"POMORSKIE","maj","paliwa sta³e, ciek³e i gazowe","68.2"
"POMORSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","99.8"
"POMORSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","77.2"
"POMORSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","79"
"POMORSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","94.1"
"POMORSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","101.7"
"POMORSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","87.6"
"POMORSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","102.6"
"POMORSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","87.1"
"POMORSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","89.2"
"POMORSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","100.3"
"POMORSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","107"
"POMORSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","92.9"
"POMORSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","105.2"
"POMORSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105.4"
"POMORSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","83.2"
"POMORSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","104.1"
"POMORSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","80.8"
"ŒL¥SKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","103.9"
"ŒL¥SKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","108.8"
"ŒL¥SKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","108"
"ŒL¥SKIE","luty","paliwa sta³e, ciek³e i gazowe","107.3"
"ŒL¥SKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","115.1"
"ŒL¥SKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","109.8"
"ŒL¥SKIE","marzec","paliwa sta³e, ciek³e i gazowe","92.3"
"ŒL¥SKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","112.6"
"ŒL¥SKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","115.9"
"ŒL¥SKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","59.6"
"ŒL¥SKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","94.2"
"ŒL¥SKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","99"
"ŒL¥SKIE","maj","paliwa sta³e, ciek³e i gazowe","77.4"
"ŒL¥SKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","97.3"
"ŒL¥SKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","90.6"
"ŒL¥SKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","81.7"
"ŒL¥SKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","99"
"ŒL¥SKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","93.6"
"ŒL¥SKIE","lipiec","paliwa sta³e, ciek³e i gazowe","86.6"
"ŒL¥SKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","101.6"
"ŒL¥SKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105.1"
"ŒL¥SKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","90"
"ŒL¥SKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","99.8"
"ŒL¥SKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105"
"ŒL¥SKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","97.5"
"ŒL¥SKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","106.1"
"ŒL¥SKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","106.2"
"ŒL¥SKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","86.8"
"ŒL¥SKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","100.2"
"ŒL¥SKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","109.5"
"ŒWIÊTOKRZYSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","88.2"
"ŒWIÊTOKRZYSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","105.7"
"ŒWIÊTOKRZYSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","102.8"
"ŒWIÊTOKRZYSKIE","luty","paliwa sta³e, ciek³e i gazowe","97.5"
"ŒWIÊTOKRZYSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","108.9"
"ŒWIÊTOKRZYSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104.3"
"ŒWIÊTOKRZYSKIE","marzec","paliwa sta³e, ciek³e i gazowe","84.4"
"ŒWIÊTOKRZYSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","113.9"
"ŒWIÊTOKRZYSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","127.1"
"ŒWIÊTOKRZYSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","64.8"
"ŒWIÊTOKRZYSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","94.4"
"ŒWIÊTOKRZYSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104.1"
"ŒWIÊTOKRZYSKIE","maj","paliwa sta³e, ciek³e i gazowe","70.6"
"ŒWIÊTOKRZYSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","94.4"
"ŒWIÊTOKRZYSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","95.6"
"ŒWIÊTOKRZYSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","71.4"
"ŒWIÊTOKRZYSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","101.6"
"ŒWIÊTOKRZYSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","98.6"
"ŒWIÊTOKRZYSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","78.6"
"ŒWIÊTOKRZYSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","106.1"
"ŒWIÊTOKRZYSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","101.8"
"ŒWIÊTOKRZYSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","85.9"
"ŒWIÊTOKRZYSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","98.5"
"ŒWIÊTOKRZYSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","103.3"
"ŒWIÊTOKRZYSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","80.9"
"ŒWIÊTOKRZYSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","106.3"
"ŒWIÊTOKRZYSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105"
"ŒWIÊTOKRZYSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","76.1"
"ŒWIÊTOKRZYSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","98.3"
"ŒWIÊTOKRZYSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104.8"
"WARMIÑSKO-MAZURSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","109"
"WARMIÑSKO-MAZURSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","103.4"
"WARMIÑSKO-MAZURSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","110.4"
"WARMIÑSKO-MAZURSKIE","luty","paliwa sta³e, ciek³e i gazowe","117.6"
"WARMIÑSKO-MAZURSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","113.3"
"WARMIÑSKO-MAZURSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","116.4"
"WARMIÑSKO-MAZURSKIE","marzec","paliwa sta³e, ciek³e i gazowe","103.2"
"WARMIÑSKO-MAZURSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","118.7"
"WARMIÑSKO-MAZURSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","120.9"
"WARMIÑSKO-MAZURSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","93.1"
"WARMIÑSKO-MAZURSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","99.6"
"WARMIÑSKO-MAZURSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","97.6"
"WARMIÑSKO-MAZURSKIE","maj","paliwa sta³e, ciek³e i gazowe","106.4"
"WARMIÑSKO-MAZURSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","104.4"
"WARMIÑSKO-MAZURSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","80.6"
"WARMIÑSKO-MAZURSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","107.8"
"WARMIÑSKO-MAZURSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","107.5"
"WARMIÑSKO-MAZURSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","94.3"
"WARMIÑSKO-MAZURSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","100.7"
"WARMIÑSKO-MAZURSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","108.7"
"WARMIÑSKO-MAZURSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","92"
"WARMIÑSKO-MAZURSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","112.8"
"WARMIÑSKO-MAZURSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","104.1"
"WARMIÑSKO-MAZURSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104"
"WARMIÑSKO-MAZURSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","102"
"WARMIÑSKO-MAZURSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","111"
"WARMIÑSKO-MAZURSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105"
"WARMIÑSKO-MAZURSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","100.9"
"WARMIÑSKO-MAZURSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","104.6"
"WARMIÑSKO-MAZURSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","107"
"WIELKOPOLSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","94.9"
"WIELKOPOLSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","115.8"
"WIELKOPOLSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","111.5"
"WIELKOPOLSKIE","luty","paliwa sta³e, ciek³e i gazowe","89.5"
"WIELKOPOLSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","123.5"
"WIELKOPOLSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","119"
"WIELKOPOLSKIE","marzec","paliwa sta³e, ciek³e i gazowe","77.3"
"WIELKOPOLSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","116.9"
"WIELKOPOLSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","114.7"
"WIELKOPOLSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","48.2"
"WIELKOPOLSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","103.1"
"WIELKOPOLSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","93.6"
"WIELKOPOLSKIE","maj","paliwa sta³e, ciek³e i gazowe","64.2"
"WIELKOPOLSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","109.7"
"WIELKOPOLSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","87.4"
"WIELKOPOLSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","75.3"
"WIELKOPOLSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","117.2"
"WIELKOPOLSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","100"
"WIELKOPOLSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","80.2"
"WIELKOPOLSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","116.4"
"WIELKOPOLSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","110.4"
"WIELKOPOLSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","86"
"WIELKOPOLSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","114.3"
"WIELKOPOLSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","109.1"
"WIELKOPOLSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","76.1"
"WIELKOPOLSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","114.7"
"WIELKOPOLSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","111.1"
"WIELKOPOLSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","69.1"
"WIELKOPOLSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","113.8"
"WIELKOPOLSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","102.4"
"ZACHODNIOPOMORSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","53.5"
"ZACHODNIOPOMORSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","105.1"
"ZACHODNIOPOMORSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","106.8"
"ZACHODNIOPOMORSKIE","luty","paliwa sta³e, ciek³e i gazowe","51.8"
"ZACHODNIOPOMORSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","119.5"
"ZACHODNIOPOMORSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","111"
"ZACHODNIOPOMORSKIE","marzec","paliwa sta³e, ciek³e i gazowe","31.5"
"ZACHODNIOPOMORSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","118.2"
"ZACHODNIOPOMORSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","112.8"
"ZACHODNIOPOMORSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","21.8"
"ZACHODNIOPOMORSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","98.4"
"ZACHODNIOPOMORSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","107.2"
"ZACHODNIOPOMORSKIE","maj","paliwa sta³e, ciek³e i gazowe","23.1"
"ZACHODNIOPOMORSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","100.1"
"ZACHODNIOPOMORSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","87.5"
"ZACHODNIOPOMORSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","26.1"
"ZACHODNIOPOMORSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","108.8"
"ZACHODNIOPOMORSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","84.1"
"ZACHODNIOPOMORSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","32"
"ZACHODNIOPOMORSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","109.7"
"ZACHODNIOPOMORSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","89.7"
"ZACHODNIOPOMORSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","32.4"
"ZACHODNIOPOMORSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","106.3"
"ZACHODNIOPOMORSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","94.6"
"ZACHODNIOPOMORSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","33.7"
"ZACHODNIOPOMORSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","111.1"
"ZACHODNIOPOMORSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","99.7"
"ZACHODNIOPOMORSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","38.4"
"ZACHODNIOPOMORSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","110.7"
"ZACHODNIOPOMORSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","100.3"
