"","word","freq"
"1237","dutch cabaret",1
"1238","dutch metal",1
"1239","early modern classical",1
"1240","early romantic era",1
"1241","ectofolk",1
"1242","electric bass",1
"1243","electro jazz",1
"1244","electronica argentina",1
"1245","electronica chilena",1
"1246","electropowerpop",1
"1247","epicore",1
"1248","eurovision",1
"1249","experimental ambient",1
"1250","experimental electronic",1
"1251","experimental psych",1
"1252","finnish soul",1
"1253","florida rap",1
"1254","frauenrap",1
"1255","free folk",1
"1256","freestyle",1
"1257","french death metal",1
"1258","french garage rock",1
"1259","french jazz",1
"1260","french metal",1
"1261","french opera",1
"1262","french post-punk",1
"1263","french tech house",1
"1264","geek rock",1
"1265","german hip hop",1
"1266","german post-punk",1
"1267","german stoner rock",1
"1268","girl group",1
"1269","glitchcore",1
"1270","gospel",1
"1271","gospel r&b",1
"1272","greek psychedelic rock",1
"1273","greek rock",1
"1274","hands up",1
"1275","hard bass",1
"1276","harlem hip hop",1
"1277","harlem renaissance",1
"1278","harmonica blues",1
"1279","hawaiian indie",1
"1280","heavy psych",1
"1281","highlife",1
"1282","hungarian folk",1
"1283","icelandic classical",1
"1284","indian edm",1
"1285","indie folk italiano",1
"1286","indie fuzzpop",1
"1287","indie platense",1
"1288","indie quebecois",1
"1289","indonesian pop",1
"1290","industrial hip hop",1
"1291","indy indie",1
"1292","instrumental soul",1
"1293","instrumental surf",1
"1294","irish pop",1
"1295","isle of wight indie",1
"1296","italian techno",1
"1297","j-rap",1
"1298","jacksonville indie",1
"1299","japanese city pop",1
"1300","japanese dream pop",1
"1301","japanese garage rock",1
"1302","japanese post-punk",1
"1303","japanese post-rock",1
"1304","jazz brass",1
"1305","jazz clarinet",1
"1306","jazz double bass",1
"1307","jazz drums",1
"1308","jazz tico",1
"1309","jazz vibraphone",1
"1310","jewish pop",1
"1311","jovem guarda",1
"1312","k-pop boy group",1
"1313","kawaii future bass",1
"1314","lafayette indie",1
"1315","library music",1
"1316","libyan pop",1
"1317","lo-fi vgm",1
"1318","louisiana blues",1
"1319","louisiana metal",1
"1320","malmo indie",1
"1321","melodic hardcore",1
"1322","melodic power metal",1
"1323","melodic thrash",1
"1324","memphis soul",1
"1325","military rap",1
"1326","minimalism",1
"1327","mississippi hip hop",1
"1328","mod revival",1
"1329","modern jangle pop",1
"1330","modern old-time",1
"1331","modern reggae",1
"1332","moldovan pop",1
"1333","moombahton",1
"1334","morna",1
"1335","musica costarricense",1
"1336","neo-traditional bluegrass",1
"1337","neoclassicism",1
"1338","neotango",1
"1339","new beat",1
"1340","new england americana",1
"1341","new jack swing",1
"1342","new orleans funk",1
"1343","newcastle indie",1
"1344","newfoundland indie",1
"1345","nordic post-rock",1
"1346","north carolina hip hop",1
"1347","novo rock gaucho",1
"1348","nyc rap",1
"1349","oi",1
"1350","oklahoma country",1
"1351","olympia wa indie",1
"1352","operatic pop",1
"1353","otacore",1
"1354","ottawa rap",1
"1355","philly rap",1
"1356","plunderphonics",1
"1357","pop argentino",1
"1358","pop chileno",1
"1359","pop emo",1
"1360","pop folk",1
"1361","pop house",1
"1362","pop quebecois",1
"1363","pop violin",1
"1364","portsmouth indie",1
"1365","portuguese indie rock",1
"1366","portuguese rock",1
"1367","post-hardcore",1
"1368","post-punk argentina",1
"1369","post-screamo",1
"1370","progressive groove metal",1
"1371","progressive trance",1
"1372","progressive uplifting trance",1
"1373","psicodelia brasileira",1
"1374","psychedelic blues-rock",1
"1375","rajasthani folk",1
"1376","rap espanol",1
"1377","raw techno",1
"1378","rebel blues",1
"1379","rio grande do sul indie",1
"1380","rochester ny indie",1
"1381","rock alternatif francais",1
"1382","rock nacional",1
"1383","rock potiguar",1
"1384","rock tico",1
"1385","samba-enredo",1
"1386","samba-jazz",1
"1387","san diego indie",1
"1388","scottish indie rock",1
"1389","sertanejo",1
"1390","sertanejo pop",1
"1391","sertanejo universitario",1
"1392","ska argentino",1
"1393","ska punk",1
"1394","sky room",1
"1395","slovenian electronic",1
"1396","sludge metal",1
"1397","souldies",1
"1398","sound team",1
"1399","south carolina hip hop",1
"1400","soviet synthpop",1
"1401","spanish pop",1
"1402","spiritual hip hop",1
"1403","stomp and flutter",1
"1404","stomp and whittle",1
"1405","strut",1
"1406","sufi",1
"1407","suomi rock",1
"1408","swedish garage rock",1
"1409","symphonic metal",1
"1410","taiwan indie",1
"1411","tatar pop",1
"1412","tempe indie",1
"1413","tennessee hip hop",1
"1414","texas blues",1
"1415","thrash core",1
"1416","toronto rap",1
"1417","traditional blues",1
"1418","traditional country",1
"1419","uk garage",1
"1420","uk post-punk revival",1
"1421","uk stoner rock",1
"1422","uk82",1
"1423","urbano espanol",1
"1424","vapor house",1
"1425","welsh metal",1
"1426","welsh rock",1
"1427","wrestling",1
"1428","wu fam",1
"1429","ye ye",1
"1430","yodeling",1
"1431","york indie",1
